"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","psychophysics","683","1701745","0.0-20.0-1.0-1.0-0.2-0.159","774","","d","","","","","","","","","","","","","key","d","16.65265094339496","768","428","d","true","img/H_28.png","生人","friend","","生人"
"","","","","","html-keyboard-response","684","1702049","0.0-20.0-1.0-1.0-0.2-1.159","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","685","1703893","0.0-20.0-1.0-1.0-0.2-0.160","840","","j","","","","","","","","","","","","","key","j","16.652809090908107","768","428","j","true","img/S_28.png","自我","friend","","朋友"
"","","","","","html-keyboard-response","686","1704200","0.0-20.0-1.0-1.0-0.2-1.160","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","687","1706036","0.0-20.0-1.0-1.0-0.2-0.161","835","","j","","","","","","","","","","","","","key","j","16.646724770642354","768","428","d","false","img/C_28.png","自我","friend","","自我"
"","","","","","html-keyboard-response","688","1706347","0.0-20.0-1.0-1.0-0.2-1.161","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","689","1708174","0.0-20.0-1.0-1.0-0.2-0.162","825","","d","","","","","","","","","","","","","key","d","16.651302752294363","768","428","d","true","img/C_28.png","自我","friend","","自我"
"","","","","","html-keyboard-response","690","1708488","0.0-20.0-1.0-1.0-0.2-1.162","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","691","1710433","0.0-20.0-1.0-1.0-0.2-0.163","936","","f","","","","","","","","","","","","","key","f","16.651172413793795","768","428","f","true","img/C_28.png","朋友","friend","","自我"
"","","","","","html-keyboard-response","692","1710733","0.0-20.0-1.0-1.0-0.2-1.163","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
